Running in GHA mode.
Auto-detected latest run: 2026-03-05 00:00 UTC
================================================================
Run init  : 2026-03-05 00:00 UTC (00Z)
Fcst hrs  : 0 to 72
Base URL  : https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/05/00/
Local dir : data/WRF_downloads/20260305
Exclude   : inv
================================================================

Fetching file list from server...
Files in window: 221
  ctl     : 74
  grib2   : 73
  grib2.idx: 74

Already on disk: 10  |  To download: 211


Attaching package: ‘progressr’

The following object is masked from ‘package:httr’:

    progress


[156/211] OK  h055 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030707.ctl
[157/211] OK  h055 |  200.60 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030707.grib2
[158/211] OK  h055 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030707.grib2.idx
[159/211] OK  h056 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030708.ctl
[160/211] OK  h056 |  201.42 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030708.grib2
[161/211] OK  h056 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030708.grib2.idx
[162/211] OK  h057 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030709.ctl
[163/211] OK  h057 |  201.43 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030709.grib2
[164/211] OK  h057 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030709.grib2.idx
[165/211] OK  h058 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030710.ctl
[166/211] OK  h058 |  202.34 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030710.grib2
[167/211] OK  h058 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030710.grib2.idx
[168/211] OK  h059 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030711.ctl
[169/211] OK  h059 |  202.70 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030711.grib2
[170/211] OK  h059 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030711.grib2.idx
[171/211] OK  h060 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030712.ctl
[172/211] OK  h060 |  201.67 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030712.grib2
[173/211] OK  h060 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030712.grib2.idx
[174/211] OK  h061 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030713.ctl
[175/211] OK  h061 |  203.77 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030713.grib2
[176/211] OK  h061 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030713.grib2.idx
[177/211] OK  h062 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030714.ctl
[178/211] OK  h062 |  203.74 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030714.grib2
[179/211] OK  h062 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030714.grib2.idx
[180/211] OK  h063 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030715.ctl
[181/211] OK  h063 |  204.44 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030715.grib2
[182/211] OK  h063 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030715.grib2.idx
[183/211] OK  h064 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030716.ctl
[184/211] OK  h064 |  205.66 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030716.grib2
[185/211] OK  h064 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030716.grib2.idx
[186/211] OK  h065 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030717.ctl
[187/211] OK  h065 |  207.63 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030717.grib2
[188/211] OK  h065 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030717.grib2.idx
[189/211] OK  h066 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030718.ctl
[190/211] OK  h066 |  208.70 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030718.grib2
[191/211] OK  h066 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030718.grib2.idx
[192/211] OK  h067 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030719.ctl
[193/211] OK  h067 |  209.19 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030719.grib2
[194/211] OK  h067 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030719.grib2.idx
[195/211] OK  h068 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030720.ctl
[196/211] OK  h068 |  209.39 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030720.grib2
[197/211] OK  h068 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030720.grib2.idx
[198/211] OK  h069 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030721.ctl
[199/211] OK  h069 |  207.87 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030721.grib2
[200/211] OK  h069 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030721.grib2.idx
[201/211] OK  h070 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030722.ctl
[202/211] OK  h070 |  204.89 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030722.grib2
[203/211] OK  h070 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030722.grib2.idx
[204/211] OK  h071 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030723.ctl
[205/211] OK  h071 |  202.03 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030723.grib2
[206/211] OK  h071 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030723.grib2.idx
[207/211] OK  h072 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030800.ctl
[208/211] OK  h072 |  201.71 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030800.grib2
[209/211] OK  h072 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030800.grib2.idx
[210/211] OK  h000 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500.ctl
[211/211] OK  h000 |    0.42 MB | tries=1 | WRF_cpt_07KM_2026030500.grib2.idx

Downloaded 211 files (13813.78 MB) in 535.8 s | 0 failed
Manifest: data/WRF_downloads/_manifests/manifest_WRF_2026030500_h0-72.csv
          used  (Mb) gc trigger  (Mb) max used  (Mb)
Ncells 2182428 116.6    3685207 196.9  3685207 196.9
Vcells 3206521  24.5    8388608  64.0  4466508  34.1

Cropping 73 GRIB2 files to shapefile bbox + 0.5 deg buffer...
  Extent: 54.34W to 47.83E, 29.86S to 25.46N
  crop [1/73] WRF_cpt_07KM_2026030500_2026030500.grib2
  crop [2/73] WRF_cpt_07KM_2026030500_2026030501.grib2
  crop [3/73] WRF_cpt_07KM_2026030500_2026030502.grib2
  crop [4/73] WRF_cpt_07KM_2026030500_2026030503.grib2
  crop [5/73] WRF_cpt_07KM_2026030500_2026030504.grib2
  crop [6/73] WRF_cpt_07KM_2026030500_2026030505.grib2
  crop [7/73] WRF_cpt_07KM_2026030500_2026030506.grib2
  crop [8/73] WRF_cpt_07KM_2026030500_2026030507.grib2
  crop [9/73] WRF_cpt_07KM_2026030500_2026030508.grib2
  crop [10/73] WRF_cpt_07KM_2026030500_2026030509.grib2
  crop [11/73] WRF_cpt_07KM_2026030500_2026030510.grib2
  crop [12/73] WRF_cpt_07KM_2026030500_2026030511.grib2
  crop [13/73] WRF_cpt_07KM_2026030500_2026030512.grib2
  crop [14/73] WRF_cpt_07KM_2026030500_2026030513.grib2
  crop [15/73] WRF_cpt_07KM_2026030500_2026030514.grib2
  crop [16/73] WRF_cpt_07KM_2026030500_2026030515.grib2
  crop [17/73] WRF_cpt_07KM_2026030500_2026030516.grib2
  crop [18/73] WRF_cpt_07KM_2026030500_2026030517.grib2
  crop [19/73] WRF_cpt_07KM_2026030500_2026030518.grib2
  crop [20/73] WRF_cpt_07KM_2026030500_2026030519.grib2
  crop [21/73] WRF_cpt_07KM_2026030500_2026030520.grib2
  crop [22/73] WRF_cpt_07KM_2026030500_2026030521.grib2
